# Mean density at Ap = 15, F10.7 = 090
# Total line = 142
# Data from H.W. Cheng, NAOC, CAS; Gen by J.S. Tang, NJU
# The step (km) is
          10
#   r_p0       density_p0       H_p0
    90.00      0.3480E-05       5.390
   100.00      0.5440E-06       5.530
   110.00      0.8930E-07       6.570
   120.00      0.1950E-07       9.810
   130.00      0.7030E-08      13.520
   140.00      0.3350E-08      16.750
   150.00      0.1850E-08      19.660
   160.00      0.1110E-08      22.220
   170.00      0.7080E-09      24.500
   180.00      0.4710E-09      26.530
   190.00      0.3230E-09      28.350
   200.00      0.2270E-09      30.020
   210.00      0.1630E-09      31.570
   220.00      0.1180E-09      33.010
   230.00      0.8750E-10      34.390
   240.00      0.6540E-10      35.700
   250.00      0.4950E-10      36.960
   260.00      0.3770E-10      38.160
   270.00      0.2900E-10      39.330
   280.00      0.2250E-10      40.450
   290.00      0.1760E-10      41.520
   300.00      0.1380E-10      42.540
   310.00      0.1090E-10      43.530
   320.00      0.8680E-11      44.450
   330.00      0.6930E-11      45.330
   340.00      0.5560E-11      46.160
   350.00      0.4480E-11      46.940
   360.00      0.3620E-11      47.680
   370.00      0.2930E-11      48.380
   380.00      0.2390E-11      49.030
   390.00      0.1950E-11      49.660
   400.00      0.1590E-11      50.250
   410.00      0.1300E-11      50.820
   420.00      0.1070E-11      51.360
   430.00      0.8810E-12      51.900
   440.00      0.7270E-12      52.420
   450.00      0.6010E-12      52.930
   460.00      0.4970E-12      53.460
   470.00      0.4120E-12      53.990
   480.00      0.3430E-12      54.530
   490.00      0.2850E-12      55.090
   500.00      0.2380E-12      55.680
   510.00      0.1990E-12      56.300
   520.00      0.1660E-12      56.970
   530.00      0.1400E-12      57.680
   540.00      0.1170E-12      58.450
   550.00      0.9900E-13      59.300
   560.00      0.8360E-13      60.220
   570.00      0.7080E-13      61.230
   580.00      0.6010E-13      62.340
   590.00      0.5120E-13      63.580
   600.00      0.4380E-13      64.940
   610.00      0.3750E-13      66.450
   620.00      0.3230E-13      68.120
   630.00      0.2790E-13      69.970
   640.00      0.2420E-13      72.020
   650.00      0.2100E-13      74.280
   660.00      0.1840E-13      76.780
   670.00      0.1610E-13      79.530
   680.00      0.1420E-13      82.540
   690.00      0.1260E-13      85.840
   700.00      0.1120E-13      89.430
   710.00      0.1000E-13      93.330
   720.00      0.9010E-14      97.540
   730.00      0.8140E-14     102.070
   740.00      0.7380E-14     106.910
   750.00      0.6720E-14     112.050
   760.00      0.6140E-14     117.480
   770.00      0.5640E-14     123.180
   780.00      0.5200E-14     129.110
   790.00      0.4820E-14     135.260
   800.00      0.4470E-14     141.580
   810.00      0.4170E-14     148.020
   820.00      0.3890E-14     154.550
   830.00      0.3650E-14     161.130
   840.00      0.3430E-14     167.690
   850.00      0.3230E-14     174.210
   860.00      0.3050E-14     180.640
   870.00      0.2890E-14     186.940
   880.00      0.2740E-14     193.080
   890.00      0.2600E-14     199.030
   900.00      0.2470E-14     204.780
   910.00      0.2350E-14     210.310
   920.00      0.2240E-14     215.600
   930.00      0.2140E-14     220.660
   940.00      0.2050E-14     225.470
   950.00      0.1960E-14     230.050
   960.00      0.1880E-14     234.400
   970.00      0.1800E-14     238.520
   980.00      0.1720E-14     242.430
   990.00      0.1650E-14     246.150
  1000.00      0.1590E-14     249.670
  1010.00      0.1530E-14     253.030
  1020.00      0.1470E-14     256.230
  1030.00      0.1410E-14     259.280
  1040.00      0.1360E-14     262.200
  1050.00      0.1310E-14     265.000
  1060.00      0.1260E-14     267.700
  1070.00      0.1210E-14     270.290
  1080.00      0.1170E-14     272.810
  1090.00      0.1130E-14     275.260
  1100.00      0.1090E-14     277.630
  1110.00      0.1050E-14     279.960
  1120.00      0.1010E-14     282.240
  1130.00      0.9750E-15     284.480
  1140.00      0.9420E-15     286.690
  1150.00      0.9090E-15     288.870
  1160.00      0.8780E-15     291.030
  1170.00      0.8490E-15     293.190
  1180.00      0.8200E-15     295.320
  1190.00      0.7930E-15     297.460
  1200.00      0.7670E-15     299.600
  1210.00      0.7420E-15     301.730
  1220.00      0.7170E-15     303.870
  1230.00      0.6940E-15     306.030
  1240.00      0.6720E-15     308.200
  1250.00      0.6500E-15     310.380
  1260.00      0.6300E-15     312.580
  1270.00      0.6100E-15     314.800
  1280.00      0.5910E-15     317.040
  1290.00      0.5730E-15     319.310
  1300.00      0.5550E-15     321.600
  1310.00      0.5380E-15     323.920
  1320.00      0.5220E-15     326.270
  1330.00      0.5060E-15     328.650
  1340.00      0.4910E-15     331.060
  1350.00      0.4760E-15     333.510
  1360.00      0.4620E-15     335.990
  1370.00      0.4480E-15     338.510
  1380.00      0.4350E-15     341.070
  1390.00      0.4230E-15     343.650
  1400.00      0.4110E-15     346.300
  1410.00      0.3990E-15     348.970
  1420.00      0.3880E-15     351.680
  1430.00      0.3770E-15     354.450
  1440.00      0.3660E-15     357.240
  1450.00      0.3560E-15     360.090
  1460.00      0.3470E-15     362.990
  1470.00      0.3370E-15     365.910
  1480.00      0.3280E-15     368.900
  1490.00      0.3190E-15     371.940
  1500.00      0.3110E-15     375.010
