Simulated observation data by GODT.
Optical telescope observation data in J2000.
Each line of data consists of time(UTC in MJD, day and sec), Azimuth and Elevation.
    Day         Sec     Azi/deg     Ele/deg
  -----  ----------  ----------  ----------
  60676    1740.000   285.99357    11.42924
  60676    1800.000   281.59076    18.23585
  60676    1860.000   273.81952    26.90135
  60676    1920.000   257.72171    38.87642
  60676    1980.000   221.65637    49.45064
  60676    2040.000   177.23725    43.77990
  60676    5460.000   292.51672    55.51651
  60676    5520.000   292.49841    55.45049
  60676    5580.000   292.47883    55.38585
  60676    5640.000   292.45792    55.32261
  60676    5700.000   292.43565    55.26081
  60676    5760.000   292.41196    55.20046
  60676    5820.000   292.38681    55.14160
  60676    5880.000   292.36014    55.08425
  60676    5940.000   292.33191    55.02844
  60676    6000.000   292.30204    54.97420
  60676    6060.000   205.82688    77.86184
  60676    6120.000   206.22134    77.74650
  60676    6180.000   206.60192    77.63005
  60676    6240.000   206.96875    77.51250
  60676    6300.000   207.32199    77.39387
  60676    6360.000   207.66174    77.27419
  60676    6420.000   207.98815    77.15346
  60676    6480.000   208.30133    77.03170
  60676    6540.000   208.60140    76.90892
  60676    6600.000   208.88847    76.78513
  60676   10860.000   312.22752    15.91347
  60676   10920.000   312.29923    15.87639
  60676   10980.000   312.36991    15.84075
  60676   11040.000   312.43954    15.80657
  60676   11100.000   312.50809    15.77387
  60676   11160.000   312.57553    15.74268
  60676   11220.000   312.64182    15.71301
  60676   11280.000   312.70693    15.68489
  60676   11340.000   312.77083    15.65834
  60676   11400.000   312.83348    15.63339
  60676   11460.000   291.49898    46.99593
  60676   11520.000   291.47484    46.90972
  60676   11580.000   291.44913    46.82448
  60676   11640.000   291.42180    46.74024
  60676   11700.000   291.39280    46.65701
  60676   11760.000   291.36209    46.57480
  60676   11820.000   291.32961    46.49363
  60676   11880.000   291.29532    46.41352
  60676   11940.000   291.25915    46.33447
  60676   12000.000   291.22106    46.25651
  60676   13260.000   242.35165    61.02625
  60676   13320.000   242.65320    60.85360
  60676   13380.000   242.95216    60.68044
  60676   13440.000   243.24858    60.50677
  60676   13500.000   243.54251    60.33259
  60676   13560.000   243.83398    60.15791
  60676   13620.000   244.12303    59.98274
  60676   13680.000   244.40971    59.80708
  60676   13740.000   244.69407    59.63093
  60676   13800.000   244.97613    59.45430
  60676   17460.000   299.28804    31.20582
  60676   17520.000   299.36520    31.05786
  60676   17580.000   299.44237    30.91012
  60676   17640.000   299.51953    30.76258
  60676   17700.000   299.59669    30.61526
  60676   17760.000   299.67383    30.46815
  60676   17820.000   299.75097    30.32125
  60676   17880.000   299.82810    30.17457
  60676   17940.000   299.90521    30.02811
  60676   18000.000   299.98231    29.88186
  60676   18060.000   257.71853    47.24484
  60676   18120.000   257.87949    47.06324
  60676   18180.000   258.03945    46.88158
  60676   18240.000   258.19843    46.69986
  60676   18300.000   258.35643    46.51810
  60676   18360.000   258.51347    46.33628
  60676   18420.000   258.66956    46.15441
  60676   18480.000   258.82469    45.97249
  60676   18540.000   258.97889    45.79053
  60676   18600.000   259.13215    45.60853
  60676   23460.000   303.63558    19.16843
  60676   23520.000   303.74669    19.01457
  60676   23580.000   303.85796    18.86092
  60676   23640.000   303.96938    18.70748
  60676   23700.000   304.08095    18.55425
  60676   23760.000   304.19268    18.40124
  60676   23820.000   304.30456    18.24844
  60676   23880.000   304.41660    18.09586
  60676   23940.000   304.52879    17.94349
  60676   24000.000   304.64113    17.79133
  60676   24060.000   266.32145    29.79187
  60676   24120.000   266.47376    29.60226
  60676   24180.000   266.62570    29.41262
  60676   24240.000   266.77726    29.22297
  60676   24300.000   266.92844    29.03329
  60676   24360.000   267.07925    28.84361
  60676   24420.000   267.22970    28.65391
  60676   24480.000   267.37979    28.46419
  60676   24540.000   267.52952    28.27447
  60676   24600.000   267.67891    28.08473
  60676   37860.000   112.08466    12.18260
  60676   37920.000   112.25628    12.36049
  60676   37980.000   112.42824    12.53816
  60676   38040.000   112.60053    12.71562
  60676   38100.000   112.77317    12.89286
  60676   38160.000   112.94614    13.06988
  60676   38220.000   113.11947    13.24668
  60676   38280.000   113.29314    13.42325
  60676   38340.000   113.46717    13.59961
  60676   38400.000   113.64155    13.77573
  60676   39180.000   167.87948    10.02280
  60676   39240.000   168.07097    10.06340
  60676   39300.000   168.26261    10.10338
  60676   39360.000   168.45440    10.14273
  60676   39420.000   168.64635    10.18147
  60676   39480.000   168.83844    10.21959
  60676   39540.000   169.03068    10.25708
  60676   39600.000   169.22306    10.29395
  60676   39660.000    66.29624    11.73960
  60676   39720.000    66.43601    11.91467
  60676   39780.000    66.57561    12.08992
  60676   39840.000    66.71505    12.26534
  60676   39900.000    66.85432    12.44094
  60676   39960.000    66.99342    12.61671
  60676   40020.000    67.13236    12.79265
  60676   40080.000    67.27115    12.96877
  60676   40140.000    67.40978    13.14505
  60676   40200.000    67.54825    13.32151
